full_id,osm_id,osm_type,name:ru,name:en,name,lat,lon
n276645291,"276645291",node,Летнеозерский,Letneozerskiy,Летнеозерский,63.3914463,40.3952700
n279781344,"279781344",node,,,,43.3466000,132.5576885
n283571026,"283571026",node,,,,44.0151683,132.2194834
n285878271,"285878271",node,,,Минусинск,53.7565199,91.6985377
n286928423,"286928423",node,,,,56.6844788,96.1141503
n290263651,"290263651",node,,,Аэродром Барабинск,55.3602804,78.2998922
n300686793,"300686793",node,,,,58.3932107,97.3258911
n301790125,"301790125",node,,,Айхал,65.9579331,111.5442886
n302371684,"302371684",node,Аэропорт Мама,Mama Airport,Аэропорт Мама,58.3137634,112.8908620
n304831926,"304831926",node,,,,67.4601740,33.5804877
n338745593,"338745593",node,,,,59.6193218,150.9173265
n338745820,"338745820",node,,,,59.6223278,150.9154668
n338745829,"338745829",node,,,,59.6229461,150.9180057
n356418445,"356418445",node,,,,67.4913119,63.9600152
n360425777,"360425777",node,,,Пулково КПП-5,59.8035573,30.3130744
n387126165,"387126165",node,Иультин,Iultin,Иультин,67.9098366,-178.6795835
n392987534,"392987534",node,,,,61.8364813,34.3092355
n407626808,"407626808",node,,Yelabuga North,Елабуга (Северный),55.7930795,52.1285755
n407705910,"407705910",node,Аэродром Кырен,Kyren Aerodrome,Аэродром Кырен,51.6777446,102.1583670
n407705919,"407705919",node,,Krapivnya,Крапивня,57.0754843,33.3872050
n407720310,"407720310",node,Нивенское,Nivenskoye,Нивенское,54.5640150,20.6049701
n408501606,"408501606",node,Касимово,Kasimovo,Касимово,60.2031407,30.3337134
n408730997,"408730997",node,,,"Аэродром Славгород ""Южный""",52.9674458,78.6436150
n410380151,"410380151",node,,Nikolsk Airport,Аэропорт Никольск,59.4991329,45.5182495
n410604722,"410604722",node,Аэродром Ветровое,Vetrovoye Air Base (historical),Аэродром Ветровое,45.2547718,148.3117000
n410997741,"410997741",node,Аэродром Мензелинск,Menzelinsk Aerodrome,Аэродром Мензелинск,55.7193216,53.0699782
n411102247,"411102247",node,Вещево,Veshchevo,Вещево,60.6741547,29.1700683
n411859198,"411859198",node,Майсионвара,Maysionvara,Майсионвара,62.2802817,32.4195169
n411928095,"411928095",node,,Taly Ruchey,Талый Ручей,66.8930364,33.8809481
n412049030,"412049030",node,Аэропорт Свободный,Svobodny Airport,Аэропорт Свободный,51.4550285,128.1002637
n412352997,"412352997",node,Аэродром Средний Остров,Sredny Ostrov,Аэродром Средний Остров,79.5202553,91.1466744
n414268419,"414268419",node,,Dno (air base),Дно,57.7901573,29.9712341
n414335793,"414335793",node,,,Борки (Кимры),56.7993118,37.3314435
